PNA;NAZWA PLACÓWKI;MIEJSCOWOŚĆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO
80-298;FUP Gdańsk 16;Gdańsk;Złota Karczma;26;Gdańsk;Gdańsk;pomorskie
80-820;UP Gdańsk 20;Gdańsk;Bernarda Milskiego;1;Gdańsk;Gdańsk;pomorskie
80-962;UP Gdańsk 20;skrytki/przegródki;;;Gdańsk;Gdańsk;pomorskie
80-424;UP Gdańsk 24;Gdańsk;Kielnieńska;125;Gdańsk;Gdańsk;pomorskie
80-299;FUP Gdańsk 24;Gdańsk;Koziorożca;33;Gdańsk;Gdańsk;pomorskie
80-180;UP Gdańsk 42;Gdańsk;Świętokrzyska;62;Gdańsk;Gdańsk;pomorskie
83-009;FUP Gdańsk 42;Borkowo;Współczesna;1;Pruszcz Gdański;gdański;pomorskie
80-180;FUP Gdańsk 42;Gdańsk;Konrada Guderskiego;2;Gdańsk;Gdańsk;pomorskie
80-183;FUP Gdańsk 42;Gdańsk;Niepołomicka;32;Gdańsk;Gdańsk;pomorskie
80-158;FUP Gdańsk 42;Gdańsk;Warszawska;100/U7;Gdańsk;Gdańsk;pomorskie
80-250;UP Gdańsk 44;Gdańsk;Zofii Nałkowskiej;3;Gdańsk;Gdańsk;pomorskie
80-294;FUP Gdańsk 44;Gdańsk;Bulońska;16/8;Gdańsk;Gdańsk;pomorskie
80-169;FUP Gdańsk 44;Gdańsk;Ignacego Paderewskiego;11;Gdańsk;Gdańsk;pomorskie
80-126;FUP Gdańsk 44;Gdańsk;Piekarnicza;21/1;Gdańsk;Gdańsk;pomorskie
80-172;FUP Gdańsk 44;Gdańsk;Franciszka Schuberta;102 A;Gdańsk;Gdańsk;pomorskie
80-801;UP Gdańsk 50;Gdańsk;Długa;23/28;Gdańsk;Gdańsk;pomorskie
80-958;UP Gdańsk 50;skrytki/przegródki;;;Gdańsk;Gdańsk;pomorskie
80-876;FUP Gdańsk 50;Gdańsk;Tytusa Chałubińskiego;25;Gdańsk;Gdańsk;pomorskie
80-792;FUP Gdańsk 50;Gdańsk;Długie Ogrody;47;Gdańsk;Gdańsk;pomorskie
80-118;FUP Gdańsk 50;Gdańsk;Kartuska;94;Gdańsk;Gdańsk;pomorskie
80-715;FUP Gdańsk 50;Gdańsk;Łąkowa;7;Gdańsk;Gdańsk;pomorskie
80-832;FUP Gdańsk 50;Gdańsk;Nowe Ogrody;8/12;Gdańsk;Gdańsk;pomorskie
80-810;FUP Gdańsk 50;Gdańsk;Okopowa;21/27;Gdańsk;Gdańsk;pomorskie
80-700;FUP Gdańsk 50;Gdańsk;Podwale Grodzkie;2;Gdańsk;Gdańsk;pomorskie
80-837;FUP Gdańsk 50;Gdańsk;Straganiarska;28/30;Gdańsk;Gdańsk;pomorskie
80-814;FUP Gdańsk 50;Gdańsk;Jana Styp-Rekowskiego;14;Gdańsk;Gdańsk;pomorskie
80-825;FUP Gdańsk 50;Gdańsk;Szeroka;98;Gdańsk;Gdańsk;pomorskie
80-806;FUP Gdańsk 50;Gdańsk;Targ Rakowy;7/8;Gdańsk;Gdańsk;pomorskie
80-223;UP Gdańsk 53;Gdańsk;Czerwony Dwór;17;Gdańsk;Gdańsk;pomorskie
80-323;FUP Gdańsk 53;Gdańsk;Kołobrzeska;5-7;Gdańsk;Gdańsk;pomorskie
80-325;FUP Gdańsk 53;Gdańsk;Kołobrzeska;48C;Gdańsk;Gdańsk;pomorskie
80-334;FUP Gdańsk 53;Gdańsk;Obrońców Wybrzeża;2;Gdańsk;Gdańsk;pomorskie
80-326;FUP Gdańsk 53;Gdańsk;Szczecińska;2/2;Gdańsk;Gdańsk;pomorskie
80-961;FUP Gdańsk 53;skrytki/przegródki;;;Gdańsk;Gdańsk;pomorskie
83-002;PP Gdańsk G102;Gdańsk;Handlowa;4;Gdańsk;Gdańsk;pomorskie
81-033;AP Gdynia;Gdynia;Chylońska;130;Gdynia;Gdynia;pomorskie
81-155;AP Gdynia;Gdynia;płk. Stanisława Dąbka;232;Gdynia;Gdynia;pomorskie
81-472;AP Gdynia;Gdynia;Legionów;119 D/3 U;Gdynia;Gdynia;pomorskie
81-603;AP Gdynia;Gdynia;Leona Staniszewskiego;15/4;Gdynia;Gdynia;pomorskie
81-570;AP Gdynia;Gdynia;Waniliowa;6;Gdynia;Gdynia;pomorskie
81-301;UP Gdynia 1;Gdynia;10 Lutego;10;Gdynia;Gdynia;pomorskie
81-963;UP Gdynia 1;skrytki/przegródki;;;Gdynia;Gdynia;pomorskie
81-607;FUP Gdynia 1;Gdynia;Atlasa;3;Gdynia;Gdynia;pomorskie
81-354;FUP Gdynia 1;Gdynia;Plac Konstytucji;1;Gdynia;Gdynia;pomorskie
81-624;FUP Gdynia 1;Gdynia;2 Morskiego Pułku Strzelców;11;Gdynia;Gdynia;pomorskie
81-660;FUP Gdynia 1;Gdynia;Narcyzowa;1/10;Gdynia;Gdynia;pomorskie
81-188;FUP Gdynia 1;Gdynia;kmdr. Bolesława Romanowskiego;24 A;Gdynia;Gdynia;pomorskie
81-106;FUP Gdynia 1;Gdynia;adm. J. Unruga;39;Gdynia;Gdynia;pomorskie
81-611;FUP Gdynia 1;Gdynia;Wielkokacka;2/26;Gdynia;Gdynia;pomorskie
81-315;FUP Gdynia 1;Gdynia;Witomińska;2;Gdynia;Gdynia;pomorskie
81-308;FUP Gdynia 1;Gdynia;Władysława IV;43;Gdynia;Gdynia;pomorskie
81-198;FUP Gdynia 1;Kosakowo;Hieronima Derdowskiego;73/2;Kosakowo;pucki;pomorskie
81-320;UP Gdynia 2;Gdynia;Hutnicza;48;Gdynia;Gdynia;pomorskie
81-103;UP Gdynia 3;Gdynia;Podchorążych;10;Gdynia;Gdynia;pomorskie
81-192;FUP Gdynia 3;Gdynia;Cechowa;8;Gdynia;Gdynia;pomorskie
81-197;FUP Gdynia 3;Gdynia;Ikara;9;Gdynia;Gdynia;pomorskie
81-004;UP Gdynia 4;Gdynia;Chylońska;124;Gdynia;Gdynia;pomorskie
81-040;FUP Gdynia 4;Gdynia;Bławatna;11 A/1U;Gdynia;Gdynia;pomorskie
81-005;FUP Gdynia 4;Gdynia;Gniewska;21;Gdynia;Gdynia;pomorskie
81-209;FUP Gdynia 4;Gdynia;Morska;99;Gdynia;Gdynia;pomorskie
81-006;FUP Gdynia 4;Gdynia;Morska;228/C;Gdynia;Gdynia;pomorskie
81-290;FUP Gdynia 4;Gdynia;Ludwika Zamenhofa;15;Gdynia;Gdynia;pomorskie
81-510;UP Gdynia 10;Gdynia;al. Zwycięstwa;254;Gdynia;Gdynia;pomorskie
81-513;FUP Gdynia 10;Gdynia;Plac Górnośląski;8/1;Gdynia;Gdynia;pomorskie
81-414;UP Gdynia 14;Gdynia;Harcerska;15;Gdynia;Gdynia;pomorskie
81-420;FUP Gdynia 14;Gdynia;Bohaterów Starówki Warszawskiej;6;Gdynia;Gdynia;pomorskie
81-516;UP Gdynia 16;Gdynia;Chwaszczyńska;22;Gdynia;Gdynia;pomorskie
81-919;FUP Gdynia 16;Gdynia;Gryfa Pomorskiego;56/UB /2;Gdynia;Gdynia;pomorskie
81-516;FUP Gdynia 16;Gdynia;Korzenna;15;Gdynia;Gdynia;pomorskie
81-570;FUP Gdynia 16;Gdynia;Nagietkowa;13A;Gdynia;Gdynia;pomorskie
81-577;FUP Gdynia 16;Gdynia;Nowowiczlińska;35;Gdynia;Gdynia;pomorskie
21-205;AP Gęś;Gęś;;95;Jabłoń;parczewski;lubelskie
59-631;AP Giebułtów;Giebułtów;;136;Mirsk;lwówecki;dolnośląskie
37-301;AP Giedlarowa;Giedlarowa;;339;Leżajsk;leżajski;podkarpackie
23-147;AP Giełczew Druga;Giełczew Druga;;42A;Wysokie;lubelski;lubelskie
59-731;AP Gierałtów;Gierałtów;;44;Nowogrodziec;bolesławiecki;dolnośląskie
62-402;AP Giewartów;Giewartów;Kwiatowa;16;Ostrowite;słupecki;wielkopolskie
11-504;AP Giżycko;Giżycko;Aleja 1 Maja;3/1;Giżycko;giżycki;warmińsko-mazurskie
11-504;AP Giżycko;Giżycko;Królowej Jadwigi;14;Giżycko;giżycki;warmińsko-mazurskie
11-500;UP Giżycko 1;Giżycko;Pocztowa;2;Giżycko;giżycki;warmińsko-mazurskie
11-500;FUP Giżycko 1;Giżycko;Aleja Wojska Polskiego;8;Giżycko;giżycki;warmińsko-mazurskie
11-507;FUP Giżycko 1;skrytki/przegródki;;;Giżycko;giżycki;warmińsko-mazurskie
11-500;FUP Giżycko 1;Giżycko;Daszyńskiego;26 D;Giżycko;giżycki;warmińsko-mazurskie
11-508;FUP Giżycko 1;Giżycko;Królowej Jadwigi;4/2;Giżycko;giżycki;warmińsko-mazurskie
11-612;FUP Giżycko 1;Kruklanki;Dworcowa;3;Kruklanki;giżycki;warmińsko-mazurskie
11-513;FUP Giżycko 1;Miłki;Mazurska;2;Miłki;giżycki;warmińsko-mazurskie
77-302;AP Ględowo;Ględowo;;21 A;Człuchów;człuchowski;pomorskie
14-106;AP Ględy;Ględy;;27;Łukta;ostródzki;warmińsko-mazurskie
44-116;AP Gliwice;Gliwice;Chorzowska;44b;Gliwice;Gliwice;śląskie
44-100;AP Gliwice;Gliwice;Mikołowska;4/U8;Gliwice;Gliwice;śląskie
44-108;AP Gliwice;Gliwice;Odrowążów;101Ł;Gliwice;Gliwice;śląskie
44-100;UP Gliwice 1;Gliwice;Zwycięstwa;28;Gliwice;Gliwice;śląskie
44-100;FUP Gliwice 1;Gliwice;Ignacego Daszyńskiego;152;Gliwice;Gliwice;śląskie
44-107;FUP Gliwice 1;Gliwice;Kozielska;6;Gliwice;Gliwice;śląskie
44-100;FUP Gliwice 1;Gliwice;Łanowa;2;Gliwice;Gliwice;śląskie
44-102;UP Gliwice 2;Gliwice;Bohaterów Getta Warszawskiego;14;Gliwice;Gliwice;śląskie
44-117;FUP Gliwice 2;Gliwice;Centaura;29;Gliwice;Gliwice;śląskie
44-151;FUP Gliwice 2;Gliwice;Ignacego Daszyńskiego;500;Gliwice;Gliwice;śląskie
44-102;FUP Gliwice 2;Gliwice;pl. Jaśminu;2;Gliwice;Gliwice;śląskie
44-102;FUP Gliwice 2;Gliwice;Lipowa;1;Gliwice;Gliwice;śląskie
44-102;FUP Gliwice 2;Gliwice;al. Jana Nowaka-Jeziorańskiego;1;Gliwice;Gliwice;śląskie
44-111;FUP Gliwice 2;Gliwice;Obrońców Poczty Gdańskiej;10;Gliwice;Gliwice;śląskie
44-109;FUP Gliwice 2;Gliwice;Staromiejska;4;Gliwice;Gliwice;śląskie
44-105;FUP Gliwice 2;Gliwice;Tarnogórska;231;Gliwice;Gliwice;śląskie
44-119;FUP Gliwice 2;Gliwice;Wiślana;5;Gliwice;Gliwice;śląskie
44-113;FUP Gliwice 2;Gliwice;Zygmuntowska;34A;Gliwice;Gliwice;śląskie
44-122;UP Gliwice 22;Gliwice;Żwirki i Wigury;66;Gliwice;Gliwice;śląskie
44-114;FUP Gliwice 22;Gliwice;Perkoza;12;Gliwice;Gliwice;śląskie
44-125;FUP Gliwice 22;Gliwice;Perłowa;21;Gliwice;Gliwice;śląskie
44-121;FUP Gliwice 22;Gliwice;Emilii Plater;1;Gliwice;Gliwice;śląskie
44-165;FUP Gliwice 22;Gliwice;Sopocka;2;Gliwice;Gliwice;śląskie
76-204;AP Głobino;Głobino;Główna;72;Redzikowo;słupski;pomorskie
32-444;AP Głogoczów;Głogoczów;;918;Myślenice;myślenicki;małopolskie
67-201;AP Głogów;Głogów;Cukrownicza;2A;Głogów;głogowski;dolnośląskie
67-201;AP Głogów;Głogów;Garncarska;7;Głogów;głogowski;dolnośląskie
67-207;AP Głogów;Głogów;pl. Świętej Faustyny Kowalskiej;610/3;Głogów;głogowski;dolnośląskie
67-210;AP Głogów;Głogów;Saturna;34;Głogów;głogowski;dolnośląskie
67-210;AP Głogów;Głogów;Słowiańska;31;Głogów;głogowski;dolnośląskie
67-210;UP Głogów 2;Głogów;1 Maja;1;Głogów;głogowski;dolnośląskie
67-221;FUP Głogów 2;Białołęka;;12;Pęcław;głogowski;dolnośląskie
67-202;FUP Głogów 2;Głogów;Budowlanych;12;Głogów;głogowski;dolnośląskie
67-203;FUP Głogów 2;Głogów;Galileusza;18a;Głogów;głogowski;dolnośląskie
67-205;FUP Głogów 2;Głogów;Gwiaździsta;27a;Głogów;głogowski;dolnośląskie
67-206;FUP Głogów 2;Głogów;Jagiellońska;55;Głogów;głogowski;dolnośląskie
67-204;FUP Głogów 2;Głogów;Gustawa Morcinka;8;Głogów;głogowski;dolnośląskie
67-200;FUP Głogów 2;Głogów;Rycerska;27a;Głogów;głogowski;dolnośląskie
67-222;FUP Głogów 2;Jerzmanowa;Głogowska;6;Jerzmanowa;głogowski;dolnośląskie
67-210;FUP Głogów 2;Kotla;Szkolna;1;Kotla;głogowski;dolnośląskie
67-212;FUP Głogów 2;Serby;Główna;34;Głogów;głogowski;dolnośląskie
67-210;FUP Głogów 2;Żukowice;;46;Żukowice;głogowski;dolnośląskie
36-060;UP Głogów Małopolski;Głogów Małopolski;Rynek;58;Głogów Małopolski;rzeszowski;podkarpackie
36-062;FUP Głogów Małopolski;Zaczernie;;266;Trzebownisko;rzeszowski;podkarpackie
48-250;UP Głogówek;Głogówek;pl. Wolności;1;Głogówek;prudnicki;opolskie
39-217;AP Głowaczowa;Głowaczowa;;45;Czarna;dębicki;podkarpackie
87-500;AP Głowińsk;Głowińsk;;48a;Rypin;rypiński;kujawsko-pomorskie
95-017;AP Głowno;Głowno;Juliana Tuwima;7;Głowno;zgierski;łódzkie
95-015;UP Głowno 1;Głowno;Zgierska;6;Głowno;zgierski;łódzkie
95-016;FUP Głowno 1;Głowno;gen. Władysława Sikorskiego;45/49;Głowno;zgierski;łódzkie
48-100;UP Głubczyce;Głubczyce;Pocztowa;4;Głubczyce;głubczycki;opolskie
48-120;FUP Głubczyce;Baborów;rynek Rynek;5 A;Baborów;głubczycki;opolskie
48-140;FUP Głubczyce;Branice;Główna;63;Branice;głubczycki;opolskie
48-130;FUP Głubczyce;Kietrz;Wojska Polskiego;19;Kietrz;głubczycki;opolskie
48-101;AP Głubczyce;Głubczyce;Krakowska;20;Głubczyce;głubczycki;opolskie
48-340;UP Głuchołazy 1;Głuchołazy;Kościuszki;13;Głuchołazy;nyski;opolskie
48-340;FUP Głuchołazy 1;Głuchołazy;Aleja Jana Pawła II;32;Głuchołazy;nyski;opolskie
64-020;AP Głuchowo;Głuchowo;os. imienia Kazimierza Dobruckiego;12A;Czempiń;kościański;wielkopolskie
05-621;AP Głudna;Głudna;;26a;Błędów;grójecki;mazowieckie
46-100;AP Głuszyna;Głuszyna;Główna;53a;Namysłów;namysłowski;opolskie
55-082;AP Gniechowice;Gniechowice;Spokojna;2;Kąty Wrocławskie;wrocławski;dolnośląskie
83-140;UP Gniew;Gniew;Gdańska;5;Gniew;tczewski;pomorskie
37-203;AP Gniewczyna Łańcucka;Gniewczyna Łańcucka;;146A;Tryńcza;przeworski;podkarpackie
84-250;UP Gniewino;Gniewino;Pomorska;18;Gniewino;wejherowski;pomorskie
84-210;FUP Gniewino;Choczewo;Pucka;2;Choczewo;wejherowski;pomorskie
62-200;AP Gniezno;Gniezno;Głęboka;11a;Gniezno;gnieźnieński;wielkopolskie
62-204;AP Gniezno;Gniezno;Franklina Roosevelta;114;Gniezno;gnieźnieński;wielkopolskie
62-200;UP Gniezno 1;Gniezno;Bolesława Chrobrego;36;Gniezno;gnieźnieński;wielkopolskie
62-250;FUP Gniezno 1;Czerniejewo;1 Maja;4;Czerniejewo;gnieźnieński;wielkopolskie
62-200;FUP Gniezno 1;Gniezno;Krucza;3;Gniezno;gnieźnieński;wielkopolskie
62-200;FUP Gniezno 1;Gniezno;Karola Libelta;60d;Gniezno;gnieźnieński;wielkopolskie
62-206;FUP Gniezno 1;Gniezno;os. Osiedle Jagiellońskie;46;Gniezno;gnieźnieński;wielkopolskie
62-204;FUP Gniezno 1;Gniezno;gen. Władysława Sikorskiego;6;Gniezno;gnieźnieński;wielkopolskie
62-260;FUP Gniezno 1;Łubowo;;60;Łubowo;gnieźnieński;wielkopolskie
62-230;FUP Gniezno 1;Witkowo;Armii Poznań;4;Witkowo;gnieźnieński;wielkopolskie
62-210;UP Gniezno 2;Gniezno;Pocztowa;2;Gniezno;gnieźnieński;wielkopolskie
62-280;FUP Gniezno 2;Kiszkowo;Szkolna;24 A;Kiszkowo;gnieźnieński;wielkopolskie
62-270;FUP Gniezno 2;Kłecko;dr. Juliana Domańskiego;2;Kłecko;gnieźnieński;wielkopolskie
62-212;FUP Gniezno 2;Mieleszyn;;11;Mieleszyn;gnieźnieński;wielkopolskie
62-220;FUP Gniezno 2;Niechanowo;Różana;1;Niechanowo;gnieźnieński;wielkopolskie
98-277;AP Godynice;Godynice;;5;Brąszewice;sieradzki;łódzkie
55-206;AP Godzikowice;Godzikowice;;16;Oława;oławski;dolnośląskie
83-250;AP Godziszewo;Godziszewo;Tczewska;11;Skarszewy;starogardzki;pomorskie
43-376;AP Godziszka;Godziszka;Żywiecka;3;Buczkowice;bielski;śląskie
76-247;AP Gogolewo;Gogolewo;Strażacka;1;Dębnica Kaszubska;słupski;pomorskie
58-123;AP Gola Świdnicka;Gola Świdnicka;;21;Marcinowice;świdnicki;dolnośląskie
36-231;AP Golcowa;Golcowa;;50;Domaradz;brzozowski;podkarpackie
72-100;UP Goleniów 1;Goleniów;Konstytucji 3 Maja;17;Goleniów;goleniowski;zachodniopomorskie
72-100;FUP Goleniów 1;Glewice;;1A;Goleniów;goleniowski;zachodniopomorskie
72-100;FUP Goleniów 1;Goleniów;Juliusza Słowackiego;17;Goleniów;goleniowski;zachodniopomorskie
72-100;FUP Goleniów 1;Goleniów;Stargardzka;13;Goleniów;goleniowski;zachodniopomorskie
72-102;FUP Goleniów 1;Goleniów;Wrzosowa;5;Goleniów;goleniowski;zachodniopomorskie
72-124;FUP Goleniów 1;Kliniska Wielkie;Szczecińska;24;Goleniów;goleniowski;zachodniopomorskie
72-130;FUP Goleniów 1;Maszewo;Wojska Polskiego;9;Maszewo;goleniowski;zachodniopomorskie
72-100;FUP Goleniów 1;Mosty;;54;Goleniów;goleniowski;zachodniopomorskie
72-110;FUP Goleniów 1;Przybiernów;Bolesława Chrobrego;11;Przybiernów;goleniowski;zachodniopomorskie
72-112;FUP Goleniów 1;Stepnica;Władysława Sikorskiego;2;Stepnica;goleniowski;zachodniopomorskie
63-201;AP Golina;Golina;Słoneczna;7a;Jarocin;jarociński;wielkopolskie
63-940;AP Golina Wielka;Golina Wielka;;104/A;Bojanowo;rawicki;wielkopolskie
87-400;UP Golub-Dobrzyń 1;Golub-Dobrzyń;Rynek;26;Golub-Dobrzyń;golubsko-dobrzyński;kujawsko-pomorskie
87-408;FUP Golub-Dobrzyń 1;Ciechocin;;171;Ciechocin;golubsko-dobrzyński;kujawsko-pomorskie
87-401;FUP Golub-Dobrzyń 1;Golub-Dobrzyń;Kościuszki;19;Golub-Dobrzyń;golubsko-dobrzyński;kujawsko-pomorskie
87-410;FUP Golub-Dobrzyń 1;Kowalewo Pomorskie;Szkolna;9;Kowalewo Pomorskie;golubsko-dobrzyński;kujawsko-pomorskie
87-404;FUP Golub-Dobrzyń 1;Radomin;;10;Radomin;golubsko-dobrzyński;kujawsko-pomorskie
19-500;UP Gołdap;Gołdap;Królewiecka;1;Gołdap;gołdapski;warmińsko-mazurskie
19-520;FUP Gołdap;Banie Mazurskie;Konopnickiej;39;Banie Mazurskie;gołdapski;warmińsko-mazurskie
19-504;FUP Gołdap;Dubeninki;Dębowa;12;Dubeninki;gołdapski;warmińsko-mazurskie
19-500;FUP Gołdap;Gołdap;Armii Krajowej;34C;Gołdap;gołdapski;warmińsko-mazurskie
19-501;AP Gołdap;Gołdap;Jaćwieska;6 A;Gołdap;gołdapski;warmińsko-mazurskie
56-504;AP Gołębice;Gołębice;;15A;Dziadowa Kłoda;oleśnicki;dolnośląskie
99-303;AP Gołębiew Stary;Gołębiew Stary;;56;Kutno;kutnowski;łódzkie
83-316;AP Gołubie;Gołubie;Sambora II;11;Stężyca;kartuski;pomorskie
66-340;AP Goraj;Goraj;;21;Przytoczna;międzyrzecki;lubuskie
83-314;AP Goręczyno;Goręczyno;Kasztelańska;63;Somonino;kartuski;pomorskie
38-300;UP Gorlice 1;Gorlice;Władysława Jagiełły;4;Gorlice;gorlicki;małopolskie
38-340;FUP Gorlice 1;Biecz;Kazimierza Wielkiego;9;Biecz;gorlicki;małopolskie
38-350;FUP Gorlice 1;Bobowa;Pocztowa;2;Bobowa;gorlicki;małopolskie
38-320;FUP Gorlice 1;Gorlice;Fryderyka Chopina;5;Gorlice;gorlicki;małopolskie
38-300;FUP Gorlice 1;Gorlice;gen. Józefa Hallera;2;Gorlice;gorlicki;małopolskie
38-301;FUP Gorlice 1;Gorlice;Parkowa;6;Gorlice;gorlicki;małopolskie
38-301;FUP Gorlice 1;Gorlice;Węgierska;2;Gorlice;gorlicki;małopolskie
38-308;FUP Gorlice 1;Lipinki;;53;Lipinki;gorlicki;małopolskie
38-322;FUP Gorlice 1;Łużna;;1;Łużna;gorlicki;małopolskie
38-321;FUP Gorlice 1;Moszczenica;Samorządowa;2;Moszczenica;gorlicki;małopolskie
38-312;FUP Gorlice 1;Ropa;;849;Ropa;gorlicki;małopolskie
38-307;FUP Gorlice 1;Sękowa;;181;Sękowa;gorlicki;małopolskie
38-325;FUP Gorlice 1;Siedliska;;371;Bobowa;gorlicki;małopolskie
38-315;FUP Gorlice 1;Uście Gorlickie;;81;Uście Gorlickie;gorlicki;małopolskie
38-317;FUP Gorlice 1;Wysowa-Zdrój;;109;Uście Gorlickie;gorlicki;małopolskie
14-220;AP Goryń;Goryń;;62;Kisielice;iławski;warmińsko-mazurskie
56-421;AP Gorzesław;Gorzesław;;7;Bierutów;oleśnicki;dolnośląskie
09-503;AP Gorzewo;Gorzewo;Kruk;7A;Gostynin;gostyniński;mazowieckie
97-350;UP Gorzkowice;Gorzkowice;Szkolna;2;Gorzkowice;piotrkowski;łódzkie
66-400;AP Gorzów Wielkopolski;Gorzów Wielkopolski;Aleksandra Fredry;10;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-400;AP Gorzów Wielkopolski;Gorzów Wielkopolski;Kobylogórska;95;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-400;AP Gorzów Wielkopolski;Gorzów Wielkopolski;Aleja Konstytucji 3 Maja;102;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-404;AP Gorzów Wielkopolski;Gorzów Wielkopolski;Kostrzyńska;58;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-400;AP Gorzów Wielkopolski;Gorzów Wielkopolski;Obotrycka;5;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-414;AP Gorzów Wielkopolski;Gorzów Wielkopolski;Michała Kleofasa Ogińskiego;16 G;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-414;AP Gorzów Wielkopolski;Gorzów Wielkopolski;Plac Jana Pawła II;24 M;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-400;AP Gorzów Wielkopolski;Gorzów Wielkopolski;Pomorska;71;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-412;AP Gorzów Wielkopolski;Gorzów Wielkopolski;Widok;5;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-400;UP Gorzów Wielkopolski 1;Gorzów Wielkopolski;Kazimierza Jagiellończyka;4;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-450;FUP Gorzów Wielkopolski 1;Bogdaniec;Mickiewicza;28;Bogdaniec;gorzowski;lubuskie
66-418;FUP Gorzów Wielkopolski 1;Gorzów Wielkopolski;Kazimierza Jagiellończyka;4/1;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-407;FUP Gorzów Wielkopolski 1;Gorzów Wielkopolski;Legionów Polskich;4C;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-410;FUP Gorzów Wielkopolski 1;Gorzów Wielkopolski;Londyńska;9 a-f/4B;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-403;FUP Gorzów Wielkopolski 1;Gorzów Wielkopolski;Podmiejska;21 A;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-402;FUP Gorzów Wielkopolski 1;Gorzów Wielkopolski;Przemysłowa;2;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-405;FUP Gorzów Wielkopolski 1;Gorzów Wielkopolski;Spółdzielców;2/1B;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-409;FUP Gorzów Wielkopolski 1;Gorzów Wielkopolski;Wincentego Witosa;50/BOX 92;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-406;FUP Gorzów Wielkopolski 1;Gorzów Wielkopolski;Walerego Wróblewskiego;35;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-433;FUP Gorzów Wielkopolski 1;Lubiszyn;Pocztowa;1;Lubiszyn;gorzowski;lubuskie
66-431;FUP Gorzów Wielkopolski 1;Santok;Gorzowska;30;Santok;gorzowski;lubuskie
66-410;UP Gorzów Wielkopolski 12;Gorzów Wielkopolski;Pocztowa;19;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-413;FUP Gorzów Wielkopolski 12;Gorzów Wielkopolski;Karola Marcinkowskiego;90;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-412;FUP Gorzów Wielkopolski 12;Gorzów Wielkopolski;Okólna;25;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-408;FUP Gorzów Wielkopolski 12;Gorzów Wielkopolski;Słoneczna;62;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-417;FUP Gorzów Wielkopolski 12;Gorzów Wielkopolski;Strzelecka;25;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-414;UP Gorzów Wielkopolski 16;Gorzów Wielkopolski;Kombatantów;2;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-411;FUP Gorzów Wielkopolski 16;Gorzów Wielkopolski;Obrońców Pokoju;30/A;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-401;FUP Gorzów Wielkopolski 16;Gorzów Wielkopolski;Sczanieckiej;51;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
66-415;FUP Gorzów Wielkopolski 16;Kłodawa;Gorzowska;43;Kłodawa;gorzowski;lubuskie
66-416;FUP Gorzów Wielkopolski 16;Różanki;Niepodległości;25;Kłodawa;gorzowski;lubuskie
33-250;AP Gorzyce;Gorzyce;;14;Żabno;tarnowski;małopolskie
88-400;AP Gorzyce;Gorzyce;;11B;Żnin;żniński;kujawsko-pomorskie
44-350;UP Gorzyce k. Rybnika;Gorzyce;Kościelna;25;Gorzyce;wodzisławski;śląskie
44-360;FUP Gorzyce k. Rybnika;Lubomia;Szkolna;1;Lubomia;wodzisławski;śląskie
39-432;UP Gorzyce Tarnobrzeskie;Gorzyce;Edukacji Narodowej;1;Gorzyce;tarnobrzeski;podkarpackie
48-210;AP Gostomia;Gostomia;;86;Biała;prudnicki;opolskie
09-500;UP Gostynin;Gostynin;Wojska Polskiego;27;Gostynin;gostyniński;mazowieckie
09-504;FUP Gostynin;Lucień;;30 A;Gostynin;gostyniński;mazowieckie
09-505;FUP Gostynin;Nowy Duninów;Płocka;10;Nowy Duninów;płocki;mazowieckie
09-541;FUP Gostynin;Pacyna;Łukasiewicza;4;Pacyna;gostyniński;mazowieckie
