Id|Kod|Miasto|Ulica|Numer domu|Numer lokalu|Wojewodztwo|Powiat|Gmina
1904386|05-825|Grodzisk Mazowiecki|Kaliska|4||||
1943754|05-825|Kałęczyn|Rosy|8||||
1993918|05-825|Grodzisk Mazowiecki|Płocka|22||||
1875858|08-500|Krasnogliny||65b||||
1969286|09-402|Płock|Gradowskiego|9C|10|||
1855868|09-407|Płock|Spółdzielcza|12|1|||
1843861|09-440|Staroźreby|Płocka|52||||
1899704|09-533|Słubice|Płocka|94A||||
1794670|10-072|Olsztyn|Armii Krajowej|7|74|||
1871651|10-085|Olsztyn|M.Trąby|1|4|||
1902427|10-089|Olsztyn|Iwaszkiewicza|35|23|||
1994618|10-692|Olsztyn|Mroza|21||||
1773285|11-034|Stawiguda|Brzozowa|19||||
1918154|11-040|Dobre Miasto|Plac 1 Sierpnia|9||||
1844324|11-041|Olsztyn|Oleńki|13A|1|||
1923879|14-200|Iława|Gdańska|5a|9|||
1724504|14-200|Iława|Ogrodowa|10||||
1969512|14-200|Iława|Okulickiego|1|7|||
1969511|14-200|Iława|Dolna|19||||
1952165|15-029|Białystok|Słonimska|50|15|||
1777671|15-085|Białystok|Branickiego|29A|6|||
1949520|15-161|Białystok|Niemeńska|41||||
1827946|15-305|Białystok|Jerzego Waszyngtona|36|63|||
1861047|15-349|Białystok|Św. Jerzego|16|12|||
1969533|15-461|Białystok|Waryńskiego|38|34|||
1995065|15-509|Sobolewo|Jagodowa|4||||
1981958|15-635|Klepacze|Wodociągowa|92||||
1984784|15-644|Białystok|Storczykowa|1/1|19|||
1860667|15-698|Białystok|Janusza Radziwiłła|4||||
1924656|15-704|Białystok|Al.Jana Pawła Ii|59D|19|||
1983898|15-724|Białystok|Marczukowska|30|81|||
1789600|15-773|Białystok|Rzemieślnicza|12/1|27|||
1784427|15-774|Białystok|Kołłątaja|75|6|||
1977353|16-001|Ignatki-Osiedle|Jodłowa|8b|14|||
1905605|16-010|Studzianki|Supraślska|93||||
1875251|16-200|Krugło||25||||
1874269|16-400|Suwałki|Franciszkańska|3|18|||
1928952|17-330|Nurzec-Stacja|Tymianka|72||||
1460540|18-100|Łapy|Jaworowa|8||||
1853095|19-222|Wąsosz|Sienkiewicza|38||||
1970987|20-010|Podzamcze||39||||
1323816|20-032|Lublin|Langiewicza|3a|14|||
1849518|20-040|Lublin|Sowińskiego|1A|27|||
1904422|20-050|Lipniak||24B||||
1418662|20-067|Lublin|Ćwiklińskiej|4|57|||
1710259|20-130|Lublin|Krzemieniecka|1|94|||
1904436|20-152|Lublin|Laurowa|20|45|||
1904432|20-153|Lublin|Zdzisława Jamrożka|1A|2|||
1969112|20-153|Lublin|Strzembosza|3A|35|||
1969211|20-205|Lublin|Towarowa|9|1|||
1941016|20-244|Lublin|Ul. Wilhelma Orlika Ruckemana|4|51|||
1926406|20-247|Lublin|Tumidajskiego|8|41|||
1946879|20-258|Biskupie-Kolonia||111||||
1971000|20-258|Turka|Jagodowa|17||||
1872612|20-258|Biskupie-Kolonia||85g||||
1966847|20-258|Kolonia Pliszczyn||89||||
1970995|20-317|Lublin|Plagego I Laśkiewicza|9|41|||
1904437|20-328|Lublin|Hanki Ordonówny|4B|42|||
1970999|20-330|Lublin|Jaskółcza|13|92|||
1970989|20-356|Lublin|Krańcowa|82|13|||
1904428|20-388|Dominów|Komety|3||||
1970986|20-388|Mętów||20||||
1924229|20-416|Lublin|Dąbrowska|15||||
1904426|20-418|Lublin|Nowy Świat|23B|8|||
1977075|20-425|Lublin|Dunikowskiego|21B|6|||
1978429|20-434|Lublin|Emila Zegadłowicza|8||||
1846703|20-492|Lublin|Rodakiewicza|5|98|||
1904424|20-515|Zemborzyce Dolne||101||||
1817038|20-515|Prawiedniki|Słoneczna|25||||
1970992|20-515|Zemborzyce Tereszyńskie||1||||
1970993|20-538|Lublin|Jutrzenki|20|16A|||
1655779|20-539|Lublin|Stokrotki|7|54|||
1879718|20-552|Lublin|Kawaleryjska|8|34|||
1850730|20-553|Lublin|Hetmańska|16|57|||
1904438|20-560|Lublin|Wyżynna|20|77|||
1609767|20-560|Lublin|Wyżynna|47|4|||
1767945|20-570|Lublin|Szmaragdowa|16|135|||
1904720|20-583|Lublin|Jaspisowa|3|16|||
1912055|20-583|Lublin|Koralowa|13|54|||
1970998|20-631|Lublin|Pana Balcera|12|3|||
1904433|20-709|Lublin|Krasińskiego|12|107|||
1964887|20-713|Lublin|Ul. Szwejka|32||||
1970991|20-719|Lublin|Gęsia|9|48|||
1877312|20-807|Lublin|Czeremchowa|16|43|||
1946881|20-808|Lublin|Bohaterów Monte Cassino|16A||||
1904434|20-809|Lublin|Kryniczna|7||||
1288692|20-809|Lublin|Jana Kilińskiego|3||||
1648397|20-810|Lublin|Kasztelańska|31|35|||
1904427|20-814|Lublin|E. Plater|17||||
1842211|20-815|Lublin|Partyzantów|36||||
1767959|20-819|Lublin|Relaksowa|20B|22|||
1850729|20-819|Lublin|Tarasowa|6|69|||
1904425|20-824|Lublin|Lędzian|64||||
1819131|20-830|Lublin|Biskupińska|102||||
1904435|20-839|Lublin|Chęcińskiego|6|81|||
1790381|20-840|Lublin|Rogowskiego|9|57|||
1967723|20-853|Lublin|Poturzyńska|5|23|||
1924228|20-854|Lublin|Paganiniego|4|100|||
1937280|20-860|Lublin|I.J.Paderewskiego|10|28|||
1986295|20-865|Lublin|Kisielewskiego|15|14|||
1799158|21-002|Marysin|Karmelowa|21||||
1904430|21-025|Wola Niemiecka||118||||
1967743|21-040|Świdnik|Kręta|8|8|||
1967740|21-040|Świdnik|Staszica|12||||
1902434|21-040|Świdnik|B. Ratajczaka|15|11|||
1918492|21-075|Ludwin||1A||||
1924230|21-100|Lubartów|Północna|58||||
1950267|21-400|Łuków|Spokojna|12||||
1972090|21-400|Łuków|Wójtostwo|32||||
1980113|21-500|Biała Podlaska|Jarzębinowa|21||||
1982054|22-100|Chełm|Graniczna|18|3|||
1904343|22-400|Zamość|J.Kiepury|8|18|||
1674360|22-400|Zawada||142||||
1725938|22-400|Kalinowice||157E||||
1792277|22-400|Zamość|Lubelska|36|41|||
1895666|22-400|Zamość|Kamienna|17|38|||
1790841|22-400|Zamość|Kilińskiego|31|12|||
1919004|22-400|Kalinowice||200m||||
1789620|22-400|Zamość|Poprzeczna|15|32|||
1813981|22-400|Zamość|Oboźna|29|49|||
1702471|22-400|Zamość|Wyszyńskiego|83|19|||
1624518|22-400|Zawada||282||||
1702086|22-400|Zamość|Listopadowa|38|20|||
1946861|22-400|Kalinowice||257I||||
1789820|22-400|Zamość|Poprzeczna|11|14|||
1744273|22-400|Zamość|Żdanowska|16||||
1789814|22-400|Zamość|Batalionów Chłopskich|5|13|||
1772843|22-400|Sitaniec||47||||
1837425|22-400|Zamość|Świerkowa|10A||||
1969214|22-400|Zamość|Lwowska|21A|3|||
1832082|22-417|Chomęciska Małe||14a||||
1702481|22-417|Wisłowiec||25A||||
1969217|22-463|Radecznica|Bolesława Prusa|12||||
1919397|22-600|Tomaszów Lubelski|Gałczyńskiego|6||||
1940502|22-600|Tomaszów Lubelski|Ul. Tadeusza Kościuszki|32|48|||
1895598|22-630|Zamłynie|Zamojska|71A||||
1850728|23-100|Wincentówek||36||||
1924221|23-114|Czerniejów||139B||||
1947427|23-200|Kraśnik|Lubelska|75|53|||
