STATUS;NAZWA PLACÓWKI;MIEJSCOWOŒÆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO;POPRZEDNIO;TERAZ
+;FUP Œrem 1;Dolsk;Plac Wyzwolenia;18;Dolsk;œremski;wielkopolskie;;63-100
-;FUP Œrem 1;Dolsk;Wyzwolenia Pl.;18;Dolsk;œremski;wielkopolskie;63-100;
-;FUP Œwidnica Œl¹ska 1;Moœcisko;Kolejowa;12b;Dzier¿oniów;dzier¿oniowski;dolnoœl¹skie;58-116;
-;FUP Tarnogród;Biszcza;;79;Biszcza;bi³gorajski;lubelskie;23-425;
-;FUP Tarnogród;Obsza;;36;Obsza;bi³gorajski;lubelskie;23-413;
-;FUP Tarnogród;Potok Górny;;116;Potok Górny;bi³gorajski;lubelskie;23-423;
+;FUP Turek 1;Tuliszków;Plac Powstañców Styczniowych 1863;1A;Tuliszków;turecki;wielkopolskie;;62-740
-;FUP Turek 1;Tuliszków;Powstañców Styczniowych 1863 R. Pl.;1A;Tuliszków;turecki;wielkopolskie;62-740;
-;FUP Ustka 1;Ustka;Promenada Nadmorska;10;Ustka;s³upski;pomorskie;76-273;
+;FUP Ustroñ k. Cieszyna 1;Wis³a;pl. Bogumi³a Hoffa;2;Wis³a;cieszyñski;œl¹skie;;43-463
+;FUP Wa³brzych 1;Wa³brzych;Gdyñska;7;Wa³brzych;Wa³brzych;dolnoœl¹skie;;58-313
+;FUP Warszawa 1;Warszawa (Œródmieœcie);Plac Defilad;1/83;Warszawa;Warszawa;mazowieckie;;00-111
-;FUP Warszawa 27;Warszawa (Wola);Okocimska;2/3;Warszawa;Warszawa;mazowieckie;01-114;
-;FUP Warszawa 47;Warszawa (Œródmieœcie);Stawki;2;Warszawa;Warszawa;mazowieckie;00-964;
#;FUP Warszawa 76;Warszawa (Wilanów);Kazachska;7;Warszawa;Warszawa;mazowieckie;03-006;02-999
+;FUP Warszawa 76;Warszawa (Wilanów);Przyczó³kowa;219/221/223/B.1.10;Warszawa;Warszawa;mazowieckie;;02-961
-;FUP Warta;Goszczanów;Kaliska;19;Goszczanów;sieradzki;³ódzkie;98-215;
-;FUP W³oc³awek 11;W³oc³awek;Aleja Jana Paw³a II;83a;W³oc³awek;W³oc³awek;kujawsko-pomorskie;87-807;
+;FUP Wodzis³aw Œl¹ski;Radlin;Wojciecha Korfantego;3;Radlin;wodzis³awski;œl¹skie;;44-310
+;FUP Wolin;Miêdzyzdroje;Gryfa Pomorskiego;7;Miêdzyzdroje;kamieñski;zachodniopomorskie;;72-500
-;FUP Wysokie;Zakrzew;;26;Zakrzew;lubelski;lubelskie;23-155;
+;FUP Wyszogród;Wyszogród;Rêbowska;51/53;Wyszogród;p³ocki;mazowieckie;;09-453
+;FUP Zabrze 1;Zabrze;Brygadzistów;2;Zabrze;Zabrze;œl¹skie;;41-807
+;FUP Zabrze 1;Zabrze;Franciszkañska;21;Zabrze;Zabrze;œl¹skie;;41-819
-;FUP Zabrze 1;Zabrze;Ignacego Paderewskiego;25;Zabrze;Zabrze;œl¹skie;41-800;
-;FUP Zabrze 1;Zabrze;Legnicka;4;Zabrze;Zabrze;œl¹skie;41-800;
+;FUP Zamoœæ 1;Grabowiec;Wojs³awska;1;Grabowiec;zamojski;lubelskie;;22-426
+;FUP Zamoœæ 1;Mi¹czyn;;164;Mi¹czyn;zamojski;lubelskie;;22-455
+;FUP Zawiercie 1;Zawiercie;Józefa Pi³sudskiego;13;Zawiercie;zawierciañski;œl¹skie;;42-404
+;FUP Zwoleñ;Lipiny;;32A;Przy³êk;zwoleñski;mazowieckie;;26-704
+;FUP ¯uromin;Bie¿uñ;Zacisze;1;Bie¿uñ;¿uromiñski;mazowieckie;;09-320
+;FUP ¯uromin;Lubowidz;Jana Paw³a II;48;Lubowidz;¿uromiñski;mazowieckie;;09-304
+;FUP ¯uromin;Lutocin;Stefana ¯eromskiego;2;Lutocin;¿uromiñski;mazowieckie;;09-319
+;FUP ¯uromin;Radzanów;M³awska;4;Radzanów;m³awski;mazowieckie;;06-542
+;FUP ¯uromin;Siemi¹tkowo;W³adys³awa Reymonta;3;Siemi¹tkowo;¿uromiñski;mazowieckie;;09-137
+;FUP ¯uromin;Szreñsk;Rynek;12;Szreñsk;m³awski;mazowieckie;;06-551
+;PP Kielce 2;Kielce;pl. Niepodleg³oœci;2;Kielce;Kielce;œwiêtokrzyskie;;25-090
-;PP Piotrków Trybunalski E301;Piotrków Trybunalski;£ódzka;66;Piotrków Trybunalski;Piotrków Trybunalski;³ódzkie;97-303;
-;PP Szczecin Z101;skrytki/przegródki;;;Szczecin;Szczecin;zachodniopomorskie;70-952;
-;UP B¹dkowo;B¹dkowo;Kujawska;41;B¹dkowo;aleksandrowski;kujawsko-pomorskie;87-704;
-;UP Bia³obrzegi k. £añcuta;Bia³obrzegi;;4;Bia³obrzegi;³añcucki;podkarpackie;37-114;
-;UP Bie¿uñ;Bie¿uñ;Zacisze;1;Bie¿uñ;¿uromiñski;mazowieckie;09-320;
-;UP B³a¿owa Rzeszowska;B³a¿owa;3 Maja;9;B³a¿owa;rzeszowski;podkarpackie;36-030;
-;UP Chorzele;Chorzele;Mostowa;13;Chorzele;przasnyski;mazowieckie;06-330;
-;UP Dêblin 1;Dêblin;Bankowa;17;Dêblin;rycki;lubelskie;08-530;
-;UP Dobrzyñ n. Wis³¹;Dobrzyñ nad Wis³¹;Stodólna;16;Dobrzyñ nad Wis³¹;lipnowski;kujawsko-pomorskie;87-610;
-;UP Dzia³oszyn;Dzia³oszyn;Os. Józefa Pi³sudskiego;28 D;Dzia³oszyn;pajêczañski;³ódzkie;98-355;
+;UP Dzia³oszyn;Dzia³oszyn;Pi³sudskiego;28 D;Dzia³oszyn;pajêczañski;³ódzkie;;98-355
-;UP Górzno k. Brodnicy;Górzno;Pocztowa;10;Górzno;brodnicki;kujawsko-pomorskie;87-320;
-;UP Halinów;Halinów;Jana Paw³a II;30;Halinów;miñski;mazowieckie;05-074;
-;UP Józefów k. Otwocka 3;Józefów;Genera³a Sikorskiego;23;Józefów;otwocki;mazowieckie;05-410;
-;UP Korczew n. Bugiem;Korczew;Szkolna;3;Korczew;siedlecki;mazowieckie;08-108;
-;UP Krzywiñ;Krzywiñ;Rynek;8;Krzywiñ;koœciañski;wielkopolskie;64-010;
-;UP Lubowidz;Lubowidz;Jana Paw³a II;48;Lubowidz;¿uromiñski;mazowieckie;09-304;
-;UP Mi¹czyn;Mi¹czyn;;164;Mi¹czyn;zamojski;lubelskie;22-455;
-;UP Miêdzyzdroje;Miêdzyzdroje;Gryfa Pomorskiego;7;Miêdzyzdroje;kamieñski;zachodniopomorskie;72-500;
-;UP Mircze;Mircze;Kry³owska;33;Mircze;hrubieszowski;lubelskie;22-530;
-;UP Mrozy;Mrozy;Jana Kiliñskiego;1;Mrozy;miñski;mazowieckie;05-320;
-;UP Odolanów;Odolanów;Bartosza;3;Odolanów;ostrowski;wielkopolskie;63-430;
-;UP Ostrów Lubelski;Ostrów Lubelski;Partyzantów;1 A;Ostrów Lubelski;lubartowski;lubelskie;21-110;
-;UP P³oniawy-Bramura;P³oniawy-Bramura;;64;P³oniawy-Bramura;makowski;mazowieckie;06-210;
-;UP Poznañ 29;Poznañ (Poznañ-Je¿yce);Strzeszyñska;63;Poznañ;Poznañ;wielkopolskie;60-470;
-;UP Poznañ 29;skrytki/przegródki;;;Poznañ;Poznañ;wielkopolskie;60-995;
+;UP Poznañ 29;skrytki/przegródki;;;Suchy Las;poznañski;wielkopolskie;;60-995
+;UP Poznañ 29;Suchy Las;pl. Nowy Rynek;3;Suchy Las;poznañski;wielkopolskie;;62-000
-;UP Przygodzice;Przygodzice;Wroc³awska;54;Przygodzice;ostrowski;wielkopolskie;63-421;
-;UP Przy³êk;Lipiny;;32A;Przy³êk;zwoleñski;mazowieckie;26-704;
-;UP Przytoczna;Przytoczna;Pocztowa;31;Przytoczna;miêdzyrzecki;lubuskie;66-340;
-;UP Radlin;Radlin;Wojciecha Korfantego;3;Radlin;wodzis³awski;œl¹skie;44-310;
-;UP Radzanów n. Wkr¹;Radzanów;M³awska;4;Radzanów;m³awski;mazowieckie;06-540;
-;UP Ró¿an;Ró¿an;Warszawska;8;Ró¿an;makowski;mazowieckie;06-230;
-;UP Sicienko;Sicienko;Bydgoska;4;Sicienko;bydgoski;kujawsko-pomorskie;86-014;
+;UP Sicienko;Sicienko;Pocztowy Rynek;4;Sicienko;bydgoski;kujawsko-pomorskie;;86-014
-;UP Strzegowo;Strzegowo;Wyzwolenia;25;Strzegowo;m³awski;mazowieckie;06-445;
-;UP Œrem 1;Œrem;20 PaŸdziernika Pl.;41;Œrem;œremski;wielkopolskie;63-100;
+;UP Œrem 1;Œrem;Plac 20 PaŸdziernika;41;Œrem;œremski;wielkopolskie;;63-100
-;UP Tarnogród;Tarnogród;Rynek;20;Tarnogród;bi³gorajski;lubelskie;23-420;
-;UP Tarnowiec;Tarnowiec;;30;Tarnowiec;jasielski;podkarpackie;38-204;
-;UP Wa³brzych 2;Wa³brzych;Gdyñska;7;Wa³brzych;Wa³brzych;dolnoœl¹skie;58-313;
-;UP Warszawa 154;Warszawa (Wilanów);Przyczó³kowa;219/221/223/B.1.10;Warszawa;Warszawa;mazowieckie;02-962;
-;UP Warta;Warta;Tadeusza Koœciuszki;8;Warta;sieradzki;³ódzkie;98-290;
-;UP Wieleñ n. Noteci¹;Wieleñ;Koœciuszki;33;Wieleñ;czarnkowsko-trzcianecki;wielkopolskie;64-730;
-;UP Wysokie;Wysokie;Rynek Jab³onowskich;3;Wysokie;lubelski;lubelskie;23-145;
-;UP Zabrze 7;Zabrze;Brygadzistów;2;Zabrze;Zabrze;œl¹skie;41-807;
-;UP Zabrze 19;Zabrze;Franciszkañska;21;Zabrze;Zabrze;œl¹skie;41-819;
-;UP ¯mudŸ;¯mudŸ;Kasztanowa;2;¯mudŸ;che³mski;lubelskie;22-114;
