STATUS;MIEJSCOWOŒÆ;ULICA;NUMERY;GMINA;POWIAT;WOJEWÓDZTWO;POPRZEDNIO;TERAZ
+;Adamów;;;Kowala;radomski;mazowieckie;;26-624
+;Bagno;;;Bratian;nowomiejski;warmiñsko-mazurskie;;13-332
-;Bagno;;;Nowe Miasto Lubawskie;nowomiejski;warmiñsko-mazurskie;13-332;
-;Bia³y Bór (Dalkowo);;;Bia³y Bór;szczecinecki;zachodniopomorskie;78-425;
-;Bia³y Bór (Linowo);;;Bia³y Bór;szczecinecki;zachodniopomorskie;78-425;
+;Bia³ystok;Ateñska;;Bia³ystok;Bia³ystok;podlaskie;;15-633
+;Bia³ystok;Bacieczki;1-7(n), 2-30a(p);Bia³ystok;Bia³ystok;podlaskie;;15-681
-;Bia³ystok;Bacieczki;1-7(n), 2-42(p);Bia³ystok;Bia³ystok;podlaskie;15-681;
+;Bia³ystok;Bacieczki;9-141(n), 32-142(p), 174-DK;Bia³ystok;Bia³ystok;podlaskie;;15-685
-;Bia³ystok;Bacieczki;9-141(n), 44-142(p), 174-DK;Bia³ystok;Bia³ystok;podlaskie;15-685;
+;Bia³ystok;Dziesiêciny;1-43(n), 2-DK(p);Bia³ystok;Bia³ystok;podlaskie;;15-806
+;Bia³ystok;Dziesiêciny;45-DK(n);Bia³ystok;Bia³ystok;podlaskie;;15-805
-;Bia³ystok;Dziesiêciny;;Bia³ystok;Bia³ystok;podlaskie;15-806;
+;Bia³ystok;DŸwiñska;;Bia³ystok;Bia³ystok;podlaskie;;15-161
-;Bia³ystok;gen. W³adys³awa Andersa;2-14(p), 5-15(n);Bia³ystok;Bia³ystok;podlaskie;15-124;
+;Bia³ystok;gen. W³adys³awa Andersa;2-36(p), 5-15(n);Bia³ystok;Bia³ystok;podlaskie;;15-124
+;Bia³ystok;"kpt. Kazimierza Kamieñskiego ""Huzar""";;Bia³ystok;Bia³ystok;podlaskie;;15-684
-;Bia³ystok;ks. Jerzego Popie³uszki;116-DK(p);Bia³ystok;Bia³ystok;podlaskie;15-617;
-;Bia³ystok;ks. Jerzego Popie³uszki;60-82b(p), 71-75(n), 113-DK(n);Bia³ystok;Bia³ystok;podlaskie;15-657;
+;Bia³ystok;ks. Jerzego Popie³uszki;60-DK(p), 71-DK(n);Bia³ystok;Bia³ystok;podlaskie;;15-657
-;Bia³ystok;ks. Jerzego Popie³uszki;99-111a(n);Bia³ystok;Bia³ystok;podlaskie;15-567;
-;Bia³ystok;ks. Zdzis³awa Peszkowskiego;;Bia³ystok;Bia³ystok;podlaskie;15-772;
#;Bia³ystok;Limonkowa;;Bia³ystok;Bia³ystok;podlaskie;15-794;15-795
+;Bia³ystok;Miko³aja Kopernika;1-2;Bia³ystok;Bia³ystok;podlaskie;;15-367
-;Bia³ystok;Miko³aja Kopernika;1-33(n), 2a-22(p);Bia³ystok;Bia³ystok;podlaskie;15-377;
-;Bia³ystok;Miko³aja Kopernika;2;Bia³ystok;Bia³ystok;podlaskie;15-367;
+;Bia³ystok;Miko³aja Kopernika;24-60(p);Bia³ystok;Bia³ystok;podlaskie;;15-397
-;Bia³ystok;Miko³aja Kopernika;26-DK(p);Bia³ystok;Bia³ystok;podlaskie;15-397;
+;Bia³ystok;Miko³aja Kopernika;2a-22(p), 5a-33(n);Bia³ystok;Bia³ystok;podlaskie;;15-377
+;Bia³ystok;Narwiañska;;Bia³ystok;Bia³ystok;podlaskie;;15-161
#;Bia³ystok;Ordynacka;;Bia³ystok;Bia³ystok;podlaskie;15-587;15-585
#;Bia³ystok;Pistacjowa;;Bia³ystok;Bia³ystok;podlaskie;15-794;15-795
+;Bia³ystok;Piwonii;;Bia³ystok;Bia³ystok;podlaskie;;15-571
+;Bia³ystok;pl. Ducha Œwiêtego;;Bia³ystok;Bia³ystok;podlaskie;;15-204
+;Bia³ystok;Sokola;11-DK;Bia³ystok;Bia³ystok;podlaskie;;15-537
-;Bia³ystok;Sokola;11-DK(n);Bia³ystok;Bia³ystok;podlaskie;15-537;
+;Bia³ystok;Sterowa;;Bia³ystok;Bia³ystok;podlaskie;;15-585
+;Bia³ystok;Symetryczna;;Bia³ystok;Bia³ystok;podlaskie;;15-587
+;Bia³ystok;Tymiankowa;;Bia³ystok;Bia³ystok;podlaskie;;15-597
+;Bia³ystok;Wêgierska;;Bia³ystok;Bia³ystok;podlaskie;;15-616
-;Bia³ystok;Wroc³awska;1-8, 20-DK(p), 41-DK(n);Bia³ystok;Bia³ystok;podlaskie;15-644;
-;Bia³ystok;Wroc³awska;9-35(n);Bia³ystok;Bia³ystok;podlaskie;16-644;
+;Bia³ystok;Wroc³awska;;Bia³ystok;Bia³ystok;podlaskie;;15-644
-;Bia³ystok;Wschodnia;1-59, 62-DK;Bia³ystok;Bia³ystok;podlaskie;15-158;
+;Bia³ystok;Wschodnia;1-DK;Bia³ystok;Bia³ystok;podlaskie;;15-158
+;Bia³ystok;Z³otych £anów;;Bia³ystok;Bia³ystok;podlaskie;;15-594
-;Bia³ystok (Zawady);;;Bia³ystok;Bia³ystok;podlaskie;16-070;
+;Biele;;;Œlesin;koniñski;wielkopolskie;;62-561
+;Bielsko-Bia³a;Józefa Kustronia;;Bielsko-Bia³a;Bielsko-Bia³a;œl¹skie;;43-316
+;Biskupie Sarnowskie;;;Œlesin;koniñski;wielkopolskie;;62-561
-;Boles³awice;;;Kobylnica;s³upski;pomorskie;76-251;
-;Bolêcin;;;Trzebinia;chrzanowski;ma³opolskie;32-540;
-;Bógwidze (Józefina);;;Pleszew;pleszewski;wielkopolskie;63-300;
+;Bratian;;;Bratian;nowomiejski;warmiñsko-mazurskie;;13-300
-;Bratian;;;Nowe Miasto Lubawskie;nowomiejski;warmiñsko-mazurskie;13-300;
+;Bratian (Nad Torem);;;Bratian;nowomiejski;warmiñsko-mazurskie;;13-300
-;Bratian (Nad Torem);;;Nowe Miasto Lubawskie;nowomiejski;warmiñsko-mazurskie;13-300;
-;Brzeg;Czereœniowa;;Brzeg;brzeski;opolskie;49-300;
-;Brzozowo (Pupkowo);;;Lipnica;bytowski;pomorskie;77-139;
-;Brzozowo (Szprêgelówka);;;Lipnica;bytowski;pomorskie;77-139;
-;Budy (Trêby Nowe);;;Kleczew;koniñski;wielkopolskie;62-541;
-;Budzis³aw Górny (£azy);;;Kleczew;koniñski;wielkopolskie;62-541;
+;Bukowie;;;S³upia Konecka;konecki;œwiêtokrzyskie;;26-234
+;Bukowna;;;Lubin;lubiñski;dolnoœl¹skie;;59-307
-;Bylew (Bylew-Parcele);;;Œlesin;koniñski;wielkopolskie;62-563;
+;Bylew-Parcele;;;Œlesin;koniñski;wielkopolskie;;62-563
+;Bys³aw (Bociany);;;Lubiewo;tucholski;kujawsko-pomorskie;;89-510
+;Cacki;;;Barciany;kêtrzyñski;warmiñsko-mazurskie;;11-410
+;Cha³upki;;;Tuczêpy;buski;œwiêtokrzyskie;;28-142
+;Choroñ (Baranowizna);;;Poraj;myszkowski;œl¹skie;;42-360
-;Chroœle;;;Nowe Miasto Lubawskie;nowomiejski;warmiñsko-mazurskie;13-304;
+;Chroœle;;;Bratian;nowomiejski;warmiñsko-mazurskie;;13-304
#;Czêstochowa;Dojazdowa;1-DK;Czêstochowa;Czêstochowa;œl¹skie;42-202;42-216
#;Czêstochowa;Dojazdowa;1-DK;Czêstochowa;Czêstochowa;œl¹skie;42-216;42-202
#;Czêstochowa;£owicka;1-DK;Czêstochowa;Czêstochowa;œl¹skie;42-271;42-221
#;Czêstochowa;£owicka;1-DK;Czêstochowa;Czêstochowa;œl¹skie;42-221;42-271
+;Czosnowo;;;Przechlewo;cz³uchowski;pomorskie;;77-320
-;Czy¿ówka;;;Trzebinia;chrzanowski;ma³opolskie;32-540;
-;D¹browa Du¿a (D¹browa Ma³a);;;Œlesin;koniñski;wielkopolskie;62-561;
+;D¹browa Ma³a;;;Œlesin;koniñski;wielkopolskie;;62-561
-;Dêbówko (Karolewka);;;Bartoszyce;bartoszycki;warmiñsko-mazurskie;11-200;
-;D³ugi Bród (Piaski);;;Dubicze Cerkiewne;hajnowski;podlaskie;17-200;
+;Dobieszewo (Kar³owo);;;Kcynia;nakielski;kujawsko-pomorskie;;89-240
-;Dobromierz (Serwinów);;;Dobromierz;œwidnicki;dolnoœl¹skie;58-170;
+;Dobrzykowo;;;Barciany;kêtrzyñski;warmiñsko-mazurskie;;11-410
+;Dolêdzin;;;Rudnik;raciborski;œl¹skie;;47-411
+;Dolne Ostrowite;;;Lipnica;bytowski;pomorskie;;77-130
-;Domaniów (Domaniówek);;;Domaniów;o³awski;dolnoœl¹skie;55-216;
+;Domaniówek;;;Domaniów;o³awski;dolnoœl¹skie;;55-216
-;Dulowa;;;Trzebinia;chrzanowski;ma³opolskie;32-545;
+;Dzier¿¹czka;;;Czernikowo;toruñski;kujawsko-pomorskie;;87-617
+;Gajówka Kruki;;;I³¿a;radomski;mazowieckie;;27-100
+;Gajówka Niwy;;;I³¿a;radomski;mazowieckie;;27-100
+;Gajówka Osiny;;;I³¿a;radomski;mazowieckie;;27-100
+;Garbnik;;;Barciany;kêtrzyñski;warmiñsko-mazurskie;;11-410
-;Garbno (Dobrzykowo);;;Barciany;kêtrzyñski;warmiñsko-mazurskie;11-410;
+;Gdañsk;prof. Marii Janion;;Gdañsk;Gdañsk;pomorskie;;80-309
+;Gdynia;Antoniego Abrahama;59-69(n), 62/64-72(p);Gdynia;Gdynia;pomorskie;;81-393
-;Gdynia;Antoniego Abrahama;59-69(n), 62-72(p);Gdynia;Gdynia;pomorskie;81-393;
-;Gdynia;Chyloñska;222-DK(p), 245-DK(n);Gdynia;Gdynia;pomorskie;81-016;
+;Gdynia;Chyloñska;245-DK(n);Gdynia;Gdynia;pomorskie;;81-016
-;Gdynia;Cmentarna;;Gdynia;Gdynia;pomorskie;81-311;
-;Gdynia;Fromborska;;Gdynia;Gdynia;pomorskie;81-329;
-;Gdynia;Gniewska;10-DK(p), 13-DK(n);Gdynia;Gdynia;pomorskie;81-047;
+;Gdynia;Gniewska;13-DK(n), 16-36(p);Gdynia;Gdynia;pomorskie;;81-047
+;Gdynia;Janka Wiœniewskiego;1-25(n), 2-DK;Gdynia;Gdynia;pomorskie;;81-335
+;Gdynia;Janka Wiœniewskiego;27-31(n);Gdynia;Gdynia;pomorskie;;81-156
-;Gdynia;Janka Wiœniewskiego;;Gdynia;Gdynia;pomorskie;81-335;
+;Gdynia;Kartuska;69-91(n), 76-98(p);Gdynia;Gdynia;pomorskie;;81-086
-;Gdynia;Kartuska;69-DK(n), 76-DK(p);Gdynia;Gdynia;pomorskie;81-086;
+;Gdynia;Lotników;73-153;Gdynia;Gdynia;pomorskie;;81-512
-;Gdynia;Lotników;73-153, 74-152(p);Gdynia;Gdynia;pomorskie;81-512;
-;Gdynia;Mazowiecka;;Gdynia;Gdynia;pomorskie;81-305;
+;Gdynia;Rozewska;10-16b(p);Gdynia;Gdynia;pomorskie;;81-005
+;Gdynia;Rozewska;1-55(n), 18-DK(p);Gdynia;Gdynia;pomorskie;;81-055
-;Gdynia;Rozewska;;Gdynia;Gdynia;pomorskie;81-055;
-;Gdynia;Œwiêtojañska;1-18;Gdynia;Gdynia;pomorskie;81-368;
+;Gdynia;Œwiêtojañska;1-3, 4-18(p), 5/7-15a(n);Gdynia;Gdynia;pomorskie;;81-368
+;Gdynia;Uczniowska;1-3, 21-25(n);Gdynia;Gdynia;pomorskie;;81-647
-;Gdynia;Uczniowska;1/3-3, 21-25(n);Gdynia;Gdynia;pomorskie;81-647;
-;Gdynia;Wiejska;1-29;Gdynia;Gdynia;pomorskie;81-068;
+;Gdynia;Wiejska;1-8, 10-28(p), 21-27(n);Gdynia;Gdynia;pomorskie;;81-068
+;Gdynia;Wiejska;7;Gdynia;Gdynia;pomorskie;;81-008
-;Gêsie Góry (Kudwiny);;;Barciany;kêtrzyñski;warmiñsko-mazurskie;11-410;
-;Gêsiki (Gêsiniec Wielki);;;Barciany;kêtrzyñski;warmiñsko-mazurskie;11-410;
+;Gêsiniec Wielki;;;Barciany;kêtrzyñski;warmiñsko-mazurskie;;11-410
+;Glinka;;;Barciany;kêtrzyñski;warmiñsko-mazurskie;;11-410
-;G³êbockie Pierwsze (Witalisów);;;Œlesin;koniñski;wielkopolskie;62-561;
-;G³ogów (Konary);;;Wieniawa;przysuski;mazowieckie;26-432;
-;G³ogów (Zad¹brów);;;Wieniawa;przysuski;mazowieckie;26-432;
-;G³ówczyno (Cacki);;;Barciany;kêtrzyñski;warmiñsko-mazurskie;11-410;
+;Gminka;;;Pleszew;pleszewski;wielkopolskie;;63-300
-;Godków (Godków-Osiedle);;;Chojna;gryfiñski;zachodniopomorskie;74-500;
+;Godków-Osiedle;;;Chojna;gryfiñski;zachodniopomorskie;;74-500
+;Go³aczów;;;Chojnów;legnicki;dolnoœl¹skie;;59-225
+;Gorzeñ Górny;;;Wadowice;wadowicki;ma³opolskie;;34-100
+;Goœciniec;;;Chêciny;kielecki;œwiêtokrzyskie;;26-060
+;Grabce;;;Kleczew;koniñski;wielkopolskie;;62-541
-;Grabinka;;;Zadzim;poddêbicki;³ódzkie;99-232;
+;Gradowo;;;Barciany;kêtrzyñski;warmiñsko-mazurskie;;11-410
+;Graniczna;;;Chojna;gryfiñski;zachodniopomorskie;;74-506
-;Groszowice (Wrzosów);;;Jedlnia-Letnisko;radomski;mazowieckie;26-630;
-;Grójec Wielki (Obojêcie);;;Z³oczew;sieradzki;³ódzkie;98-270;
+;Grójec Wielki-Obojêcie;;;Z³oczew;sieradzki;³ódzkie;;98-270
+;Gruda;;;Bartoszyce;bartoszycki;warmiñsko-mazurskie;;11-200
-;GryŸliny;;;Nowe Miasto Lubawskie;nowomiejski;warmiñsko-mazurskie;13-332;
+;GryŸliny;;;Bratian;nowomiejski;warmiñsko-mazurskie;;13-332
+;GwiŸdziny;;;Bratian;nowomiejski;warmiñsko-mazurskie;;13-300
-;GwiŸdziny;;;Nowe Miasto Lubawskie;nowomiejski;warmiñsko-mazurskie;13-300;
-;GwiŸdziny (GwiŸdzinki);;;Nowe Miasto Lubawskie;nowomiejski;warmiñsko-mazurskie;13-300;
+;GwiŸdziny (GwiŸdzinki);;;Bratian;nowomiejski;warmiñsko-mazurskie;;13-300
-;Gzowice;;;Jedlnia-Letnisko;radomski;mazowieckie;26-630;
-;Gzowice-Folwark;;;Jedlnia-Letnisko;radomski;mazowieckie;26-630;
-;Gzowice-Kolonia;;;Jedlnia-Letnisko;radomski;mazowieckie;26-630;
-;Izabelin (Izabelin-Kolonia);;;Kleczew;koniñski;wielkopolskie;62-540;
+;Izabelin-Kolonia;;;Kleczew;koniñski;wielkopolskie;;62-540
-;Jagielno (Mokrzyce);;;Przeworno;strzeliñski;dolnoœl¹skie;57-130;
-;Jagodniki (Siemiwo³oki);;;Dubicze Cerkiewne;hajnowski;podlaskie;17-204;
+;Jamielnik;;;Bratian;nowomiejski;warmiñsko-mazurskie;;13-332
-;Jamielnik;;;Nowe Miasto Lubawskie;nowomiejski;warmiñsko-mazurskie;13-332;
+;Janowo (Gostusza);;;Nak³o nad Noteci¹;nakielski;kujawsko-pomorskie;;89-100
-;Janów Podlaski (Zaborek);;;Janów Podlaski;bialski;lubelskie;21-505;
#;Jelenia Góra;Nadbrze¿na;1-DK;Jelenia Góra;Jelenia Góra;dolnoœl¹skie;58-560;58-500
#;Jelenia Góra;Nadbrze¿na;1-DK;Jelenia Góra;Jelenia Góra;dolnoœl¹skie;58-500;58-560
#;Jelenia Góra;Poprzeczna;1-DK;Jelenia Góra;Jelenia Góra;dolnoœl¹skie;58-500;58-560
#;Jelenia Góra;Poprzeczna;1-DK;Jelenia Góra;Jelenia Góra;dolnoœl¹skie;58-560;58-500
#;Jelenia Góra;Stefana ¯eromskiego;1-DK;Jelenia Góra;Jelenia Góra;dolnoœl¹skie;58-500;58-570
#;Jelenia Góra;Stefana ¯eromskiego;1-DK;Jelenia Góra;Jelenia Góra;dolnoœl¹skie;58-570;58-500
#;Jod³ówka;;;Dubicze Cerkiewne;hajnowski;podlaskie;18-507;17-204
+;Józefina;;;Pleszew;pleszewski;wielkopolskie;;63-300
-;Kaczek;;;Nowe Miasto Lubawskie;nowomiejski;warmiñsko-mazurskie;13-300;
+;Kaczek;;;Bratian;nowomiejski;warmiñsko-mazurskie;;13-300
#;Kamionka (osada);;;Chojnice;chojnicki;pomorskie;89-620;89-608
#;Kamionka (osada);;;Chojnice;chojnicki;pomorskie;89-608;89-620
+;Kamionka-Kolonia;;;Kleczew;koniñski;wielkopolskie;;62-541
-;Kamionna (Kamionna-Folwark);;;Miêdzychód;miêdzychodzki;wielkopolskie;64-421;
-;Kamionna (Wiktorowo);;;Miêdzychód;miêdzychodzki;wielkopolskie;64-421;
+;Kamionna-Folwark;;;Miêdzychód;miêdzychodzki;wielkopolskie;;64-421
+;Karcz;;;Lipnica;bytowski;pomorskie;;77-130
-;Karniowice;;;Trzebinia;chrzanowski;ma³opolskie;32-545;
+;Karolewka;;;Bartoszyce;bartoszycki;warmiñsko-mazurskie;;11-200
-;Karsk (Warnkowo);;;Nowogard;goleniowski;zachodniopomorskie;72-200;
-;Katowice;Armii Krajowej;1-59;Katowice;Katowice;œl¹skie;40-698;
+;Katowice;Armii Krajowej;1-59, 51-53(n);Katowice;Katowice;œl¹skie;;40-698
-;Katowice;Armii Krajowej;60-80, 81-93(n), 82-102(p);Katowice;Katowice;œl¹skie;40-671;
+;Katowice;Armii Krajowej;60-80, 82-102(p);Katowice;Katowice;œl¹skie;;40-671
-;Katowice;Tadeusza Koœciuszki;327-361(n);Katowice;Katowice;œl¹skie;40-690;
-;Katowice;Tadeusza Koœciuszki;363-DK(n), 392-DK(p);Katowice;Katowice;œl¹skie;40-691;
+;Katowice;Tylna Mariacka;;Katowice;Katowice;œl¹skie;;40-014
-;Katowice;Wojska Polskiego;;Katowice;Katowice;œl¹skie;40-669;
+;K¹kowa Wola-Parcele;;;Brzeœæ Kujawski;w³oc³awski;kujawsko-pomorskie;;87-880
-;Kêdzierzyn-KoŸle;Aleja Jana Paw³a II;3-17, 18-38e(p), 25-31(n);Kêdzierzyn-KoŸle;kêdzierzyñsko-kozielski;opolskie;47-220;
+;Kêdzierzyn-KoŸle;Aleja Jana Paw³a II;3-31, 18-38(p);Kêdzierzyn-KoŸle;kêdzierzyñsko-kozielski;opolskie;;47-220
+;Kêdzierzyn-KoŸle;Bulwar Wschodni;;Kêdzierzyn-KoŸle;kêdzierzyñsko-kozielski;opolskie;;47-232
+;Kêdzierzyn-KoŸle;Pod Lasem;;Kêdzierzyn-KoŸle;kêdzierzyñsko-kozielski;opolskie;;47-230
-;Kiedrowice (Karcz);;;Lipnica;bytowski;pomorskie;77-130;
+;Kielce;Jadwigi i Jana Karczewskich;;Kielce;Kielce;œwiêtokrzyskie;;25-202
-;Kijowiec (Kijowiec-Szyszynek);;;Œlesin;koniñski;wielkopolskie;62-561;
+;Kijowiec-Osiedle;;;Zalesie;bialski;lubelskie;;21-512
+;Kijowiec-Szyszynek;;;Œlesin;koniñski;wielkopolskie;;62-561
+;Kleæ;;;Opatów;k³obucki;œl¹skie;;42-152
+;Klekotki;;;Bartoszyce;bartoszycki;warmiñsko-mazurskie;;11-200
-;Kleszczyniec (Po³upino);;;Czarna D¹brówka;bytowski;pomorskie;77-116;
+;Klonownica Ma³a (Zaborek);;;Janów Podlaski;bialski;lubelskie;;21-505
-;Kolonia £obudzice (£obudzice Poduchowne);;;Zelów;be³chatowski;³ódzkie;97-425;
-;Komorowo;;;Bia³a Piska;piski;warmiñsko-mazurskie;12-230;
+;Komory D¹browne (Janówek);;;Soñsk;ciechanowski;mazowieckie;;06-440
+;Konary;;;Wieniawa;przysuski;mazowieckie;;26-432
-;Konradówka (Go³aczów);;;Chojnów;legnicki;dolnoœl¹skie;59-225;
+;Konstantynówek;;;Œlesin;koniñski;wielkopolskie;;62-561
+;Kopiec;;;Zawonia;trzebnicki;dolnoœl¹skie;;55-106
#;Kraków (Kraków-Podgórze);Cechowa;10;Kraków;Kraków;ma³opolskie;30-685;30-614
#;Kraków (Kraków-Podgórze);Cechowa;10;Kraków;Kraków;ma³opolskie;30-614;30-685
-;Kraków (Kraków-Podgórze);Tuchowska;1-43(n), 2-48(p);Kraków;Kraków;ma³opolskie;30-618;
+;Kraków (Kraków-Podgórze);Tuchowska;1-49;Kraków;Kraków;ma³opolskie;;30-618
-;Kraków (Kraków-Podgórze);Tuchowska;1-DK;Kraków;Kraków;ma³opolskie;30-698;
+;Kraków (Kraków-Podgórze);Tuchowska;50-DK;Kraków;Kraków;ma³opolskie;;30-698
#;Kraków (Kraków-Podgórze);Tyniecka;10;Kraków;Kraków;ma³opolskie;30-319;30-323
#;Kraków (Kraków-Podgórze);Tyniecka;10;Kraków;Kraków;ma³opolskie;30-323;30-319
+;Kraków (Kraków-Œródmieœcie);Moniuszki;5-17(n), 18-50;Kraków;Kraków;ma³opolskie;;31-523
-;Kraków (Kraków-Œródmieœcie);Moniuszki;5-17(n), 18-DK;Kraków;Kraków;ma³opolskie;31-523;
-;Kraków (Kraków-Œródmieœcie);Olszañska;1-11, 12-16(p), 13-23(n);Kraków;Kraków;ma³opolskie;31-513;
+;Kraków (Kraków-Œródmieœcie);Olszañska;5a-23(n), 12-16(p);Kraków;Kraków;ma³opolskie;;31-513
-;Krawczyki (Klekotki);;;Bartoszyce;bartoszycki;warmiñsko-mazurskie;11-200;
+;Krzczonów (Krzczonów-So³tysy);;;Krzczonów;lubelski;lubelskie;;23-110
-;Ksiêginice Ma³e (Przemi³ów);;;Sobótka;wroc³awski;dolnoœl¹skie;55-050;
+;Kudwiny;;;Barciany;kêtrzyñski;warmiñsko-mazurskie;;11-410
+;Kukawy;;;Kowal;w³oc³awski;kujawsko-pomorskie;;87-820
-;Lekarty;;;Nowe Miasto Lubawskie;nowomiejski;warmiñsko-mazurskie;13-300;
+;Lekarty;;;Bratian;nowomiejski;warmiñsko-mazurskie;;13-300
-;Lenartowice (Przepad³e);;;Pleszew;pleszewski;wielkopolskie;63-300;
-;Lenartowice (Sulêcin);;;Pleszew;pleszewski;wielkopolskie;63-300;
+;Leœniczówka Krzy¿ówki;;;Radoszyce;konecki;œwiêtokrzyskie;;26-230
+;Lêbork;1 Maja;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;3 Maja;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;8 Maja;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Abrahama;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Akacjowa;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Aleja Niepodleg³oœci;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Aleja Wolnoœci;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Aleksandra Majkowskiego;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Architektów;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Armii Krajowej;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Artylerzystów;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Bartosza G³owackiego;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Basztowa;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Batalionów Ch³opskich;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Batalionu Zoœka;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Beniowskiego;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;B³êkitna;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Bohaterów Monte Cassino;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Bohaterów Westerplatte;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Boles³awa Krzywoustego;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Boles³awa Prusa;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Brzozowa;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Ceynowy;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Ch³opska;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Chojnicka;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Chopina;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Cisowa;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Curie-Sk³odowskiej;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Czo³gistów;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;D¹browskiego;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Derdowskiego;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Dêbowa;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Drêtowo;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Drzyma³y;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Dworcowa;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Dygasiñskiego;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Dywizjonu 303;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Edwarda Bieszki;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Emilii Plater;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;F. Stamma;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Franciszkañska;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Gdañska;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;gen. Stanis³awa Sosabowskiego;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Genera³a Bema;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Genera³a Sikorskiego;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Genera³a Stanis³awa Maczka;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Gierymskiego;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Gliniana;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Górników;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Grudzi¹dzka;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Grunwaldzka;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Gryfa Pomorskiego;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;H. Konopackiej;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;H. Marusarzówny;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Handlowa;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Harcerzy;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Henryka Arctowskiego;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Henryka £asaka;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Hutnicza;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Ignacego Domeyki;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;In¿ynierów;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;J. Kusociñskiego;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Jagielloñska;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Jana Styki;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Janusza Korczaka;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Jerzego Kukuczki;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Jesionowa;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Jod³owa;;Lêbork;lêborski;pomorskie;;84-300
+;Lêbork;Józefa Wybickiego;;Lêbork;lêborski;pomorskie;;84-300
