STATUS;NAZWA PLACÓWKI;MIEJSCOWOŒÆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO;POPRZEDNIO;TERAZ
+;AP Nowodworce;Nowodworce;Supraœlska;68;Wasilków;bia³ostocki;podlaskie;;16-012
-;AP Nysa;Nysa;Marii Merkert;5a;Nysa;nyski;opolskie;48-302;
-;AP Orzeszkowo;Orzeszkowo;;27;Hajnówka;hajnowski;podlaskie;17-200;
-;AP Ostrowiec Œwiêtokrzyski;Ostrowiec Œwiêtokrzyski;D³uga;56;Ostrowiec Œwiêtokrzyski;ostrowiecki;œwiêtokrzyskie;27-400;
-;AP Pakoszówka;Pakoszówka;;bn;Sanok;sanocki;podkarpackie;38-507;
+;AP Pakoszówka;Pakoszówka;;k.224;Sanok;sanocki;podkarpackie;;38-507
+;AP Pi¹tkowisko;Pi¹tkowisko;;108;Pabianice;pabianicki;³ódzkie;;95-210
-;AP Piotrowice;Piotrowice;;183;Strzy¿ewice;lubelski;lubelskie;23-107;
-;AP Pogorzelec;Pogorzelec;;23A;Giby;sejneñski;podlaskie;16-500;
+;AP Postoliska;Postoliska;Zaciszna;26;T³uszcz;wo³omiñski;mazowieckie;;05-242
-;AP Przemyœl;Przemyœl;Zygmunta Krasiñskiego;bn;Przemyœl;Przemyœl;podkarpackie;37-700;
+;AP Przemyœl;Przemyœl;Zygmunta Krasiñskiego;k.13;Przemyœl;Przemyœl;podkarpackie;;37-700
+;AP Przyszowa;Przyszowa;;351;£ukowica;limanowski;ma³opolskie;;34-604
-;AP Przyszowa;Przyszowa;;480;£ukowica;limanowski;ma³opolskie;34-604;
+;AP Rakowiec;Rakowiec;Kwidzyñska;29 A;Kwidzyn;kwidzyñski;pomorskie;;82-508
-;AP Rostkowo;Rostkowo;;10;Czernice Borowe;przasnyski;mazowieckie;06-418;
+;AP Rostkowo;Rostkowo;;38;Czernice Borowe;przasnyski;mazowieckie;;06-418
-;AP Ruda;Ruda;;106 B;Radomyœl Wielki;mielecki;podkarpackie;39-310;
-;AP Skrzynno;Skrzynno;Radomska;18;Wieniawa;przysuski;mazowieckie;26-432;
+;AP S³upsk;S³upsk;Ignacego Jana Paderewskiego;9;S³upsk;S³upsk;pomorskie;;76-222
-;AP Stalowa Wola;Stalowa Wola;Genera³a Leopolda Okulickiego;108;Stalowa Wola;stalowowolski;podkarpackie;37-451;
+;AP Stalowa Wola;Stalowa Wola;Genera³a Leopolda Okulickiego;108/2;Stalowa Wola;stalowowolski;podkarpackie;;37-451
-;AP Stare Bielice;Stare Bielice;Ba³tycka;65;Biesiekierz;koszaliñski;zachodniopomorskie;76-039;
-;AP Stare Kotkowice;Stare Kotkowice;Sudecka;34B;G³ogówek;prudnicki;opolskie;48-251;
-;AP Stary Chwalim;Stary Chwalim;;39;Barwice;szczecinecki;zachodniopomorskie;78-460;
-;AP Strzebiñ;Strzebiñ;Lubliniecka;15B;Koszêcin;lubliniecki;œl¹skie;42-286;
