PNA;NAZWA JEDNOSTKI ORGANIZACYJNEJ;MIEJSCOWOŚĆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO
90-900;Region Dystrybucji Łódź;Łódź;al. Włókniarzy;227;Łódź;Łódź;łódzkie
94-104;Wydział Terenowy Transportu Łódź;Łódź;Obywatelska;121/129;Łódź;Łódź;łódzkie
90-900;Wydział Ekspedycyjno-Rozdzielczy w Łodzi;Łódź;al. Włókniarzy;227;Łódź;Łódź;łódzkie
97-303;Dział Ekspedycyjno-Rozdzielczy Piotrków Trybunalski;Piotrków Trybunalski;Łódzka;66;Piotrków Trybunalski;Piotrków Trybunalski;łódzkie
60-900;POL Region Dystrybucji Poznań;Komorniki;Polna;120;Komorniki;poznański;wielkopolskie
66-400;Wydział Terenowy Transportu Gorzów Wielkopolski;Gorzów Wielkopolski;Kazimierza Jagiellończyka;4;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
62-800;Wydział Terenowy Transportu Kalisz;Kalisz;Zamkowa;18/20;Kalisz;Kalisz;wielkopolskie
60-900;Wydział Ekspedycyjno-Rozdzielczy w Komornikach;Komorniki;Polna;120;Komorniki;poznański;wielkopolskie
66-400;Dział Ekspedycyjno-Rozdzielczy w Gorzowie Wielkopolskim;Gorzów Wielkopolski;Kazimierza Jagiellończyka;4;Gorzów Wielkopolski;Gorzów Wielkopolski;lubuskie
62-808;Dział Ekspedycyjno-Rozdzielczy w Kaliszu;Kalisz;Rozwojowa;1;Kalisz;Kalisz;wielkopolskie
63-410;Dział Ekspedycyjno-Rozdzielczy w Ostrowie Wielkopolskim;Ostrów Wielkopolski;Towarowa;3;Ostrów Wielkopolski;ostrowski;wielkopolskie
65-900;Dział Ekspedycyjno-Rozdzielczy w Zielonej Górze;Zielona Góra;Elektronowa;1;Zielona Góra;Zielona Góra;lubuskie
60-900;Wydział Terenowy Transportu Poznań;Komorniki;Polna;120;Komorniki;poznański;wielkopolskie
65-900;Wydział Terenowy Transportu Zielona Góra;Zielona Góra;Elektronowa;1;Zielona Góra;Zielona Góra;lubuskie
00-900;Region Dystrybucji Warszawa;Warszawa;Łączyny;8;Warszawa;Warszawa;mazowieckie
06-400;Wydział Terenowy Transportu Ciechanów;Ciechanów;Gostkowska;39a;Ciechanów;ciechanowski;mazowieckie
05-900;Wydział Ekspedycyjno-Rozdzielczy w Ciemne;Ciemne;Logistyczna;10;Radzymin;wołomiński;mazowieckie
05-900;Wydział Transportu Terenowego Ciemne;Ciemne;Logistyczna;10;Radzymin;wołomiński;mazowieckie
07-410;Wydział Terenowy Transportu Ostrołęka;Ostrołęka;Targowa;24;Ostrołęka;Ostrołęka;mazowieckie
09-401;Wydział Terenowy Transportu Płock;Płock;Przemysłowa;19;Płock;Płock;mazowieckie
08-110;Wydział Terenowy Transportu Siedlce;Siedlce;Brzeska;124;Siedlce;Siedlce;mazowieckie
00-900;Wydział Ekspedycyjno-Rozdzielczy w Warszawie;Warszawa;Łączyny;8;Warszawa;Warszawa;mazowieckie
03-450;Wydział Terenowy Transportu Warszawa;Warszawa;Ratuszowa;7/9;Warszawa;Warszawa;mazowieckie
00-900;Wydział Terenowy Transportu Warszawa;Warszawa;Łączyny;8;Warszawa;Warszawa;mazowieckie
06-410;Dział Ekspedycyjno-Rozdzielczy w Ciechanowie;Ciechanów;Henryka Sienkiewicza;81;Ciechanów;ciechanowski;mazowieckie
07-410;Dział Ekspedycyjno-Rozdzielczy w Ostrołęce;Ostrołęka;Graniczna;8;Ostrołęka;Ostrołęka;mazowieckie
09-420;Dział Ekspedycyjno-Rozdzielczy w Płocku;Płock;Przemysłowa;19;Płock;Płock;mazowieckie
08-110;Dział Ekspedycyjno-Rozdzielczy w Siedlcach;Siedlce;pl. Stanisława Zdanowskiego;2;Siedlce;Siedlce;mazowieckie
50-900; Region Dystrybucji we Wrocławiu;Wrocław;Ibn Siny Awicenny;21;Wrocław;Wrocław;dolnośląskie
58-500;Wydział Terenowy Transportu w Jeleniej Górze;Jelenia Góra;Spółdzielcza;43;Jelenia Góra;Jelenia Góra;dolnośląskie
57-300;Wydział Terenowy Transportu w Kłodzku;Kłodzko;Objazdowa;14;Kłodzko;kłodzki;dolnośląskie
59-220;Wydział Terenowy Transportu w Legnicy;Legnica;Poznańska;50;Legnica;Legnica;dolnośląskie
50-900;Wydział Terenowy Transportu we Wrocławiu;Wrocław;Ibn Siny Awicenny;21;Wrocław;Wrocław;dolnośląskie
50-900;Wydział Ekspedycyjno-Rozdzielczy Wrocław;Wrocław;Ibn Siny Awicenny;21;Wrocław;Wrocław;dolnośląskie
58-510;Dział Ekspedycyjno-Rozdzielczy Jelenia Góra ;Jelenia Góra;Tadeusza Sygietyńskiego;8;Jelenia Góra;Jelenia Góra;dolnośląskie
58-319;Dział Ekspedycyjno-Rozdzielczy Wałbrzych;Wałbrzych;Gdyńska;7;Wałbrzych;Wałbrzych;dolnośląskie
